#lenk          enk(meV)       PAM  Sxy            Syz            Szx
   0.0000000000  -0.0102260133  0.0   0.0000000000   0.0000000000   0.0000000000
   0.0186566055  -0.2985637931  0.0  -0.1048712606  -0.8421795530  -0.4862327127
   0.0373132111  -0.2376766471  0.0  -0.1232424405  -0.7879179799  -0.4549047500
   0.0559698166   0.2909099460  0.0  -0.1210034448  -0.7185278974  -0.4148423511
   0.0746264222   0.5734366284  0.0  -0.1122113503  -0.6467965273  -0.3734282143
   0.0932830277   0.8230754602  0.0  -0.1018480719  -0.5800203409  -0.3348749570
   0.1119396333   1.0662781664  0.0  -0.0918261750  -0.5208870103  -0.3007343065
   0.1305962388   1.3105185145  0.0  -0.0828051925  -0.4695615320  -0.2711015230
   0.1492528443   1.5594160203  0.0  -0.0749281348  -0.4251455748  -0.2454579543
   0.1679094499   1.8151033420  0.0  -0.0681359613  -0.3864124246  -0.2230953566
   0.1865660554   2.0789202176  0.0  -0.0622986032  -0.3521038736  -0.2032873030
   0.2052226610   2.3516910808  0.0  -0.0572653142  -0.3210080968  -0.1853341459
   0.2238792665   2.6338599403  0.0  -0.0528785992  -0.2919292331  -0.1685454546
   0.2425358720   2.9255637266  0.0  -0.0489688854  -0.2635864392  -0.1521817337
   0.2611924776   3.2266715766  0.0  -0.0453324543  -0.2344287989  -0.1353475614
   0.2798490831   3.5367959296  0.0  -0.0416812926  -0.2022907087  -0.1167926258
   0.2985056887   3.8552634490  0.0  -0.0375247921  -0.1636807670  -0.0945011654
   0.3171622942   4.1809967675  0.0  -0.0318517734  -0.1121286180  -0.0647375187
   0.3358188998   4.5121329170  0.0  -0.0221185908  -0.0338500380  -0.0195433608
   0.3544755053   4.8446606549  0.0   0.0000000000   0.1043994466   0.0602750138
   0.3731321108   5.1667278865  0.0   0.0622768687   0.3723877850   0.2149981494
   0.3917887164   5.4433807638  0.0   0.2016013711   0.6579574017   0.3798718494
   0.4104453219   5.6517191728  0.0   0.2882441640   0.6140681719   0.3545324040
   0.4291019275   5.8223777840  0.0   0.3081244483   0.5098721550   0.2943748132
   0.4477585330   5.9739252011  0.0   0.3085305354   0.4372478281   0.2524451426
   0.4664151386   6.1117734003  0.0   0.3021369345   0.3864923628   0.2231414633
   0.4850717441   6.2377563623  0.0   0.2920807313   0.3478472933   0.2008297235
   0.5037283496   6.3526749050  0.0   0.2793382954   0.3159151474   0.1823936915
   0.5223849552   6.4569777260  0.0   0.2643022946   0.2877120666   0.1661106361
   0.5410415607   6.5509827543  0.0   0.2471892838   0.2615050235   0.1509799933
   0.5596981663   6.6349603887  0.0   0.2281654100   0.2362446273   0.1363958972
   0.5783547718   6.7091665579  0.0   0.2073895089   0.2112823831   0.1219839392
   0.5970113773   6.7738542305  0.0   0.1850277951   0.1862213990   0.1075149736
   0.6156679829   6.8292742806  0.0   0.1612575872   0.1608322040   0.0928565153
   0.6343245884   6.8756706031  0.0   0.1362665998   0.1350018964   0.0779433804
   0.6529811940   6.9132721323  0.0   0.1102506124   0.1087011821   0.0627586562
   0.6716377995   6.9422835021  0.0   0.0834108510   0.0819614712   0.0473204770
   0.6902944051   6.9628756507  0.0   0.0559517359   0.0548578847   0.0316722143
   0.7089510106   6.9751774090  0.0   0.0280792599   0.0274958624   0.0158747434
   0.7276076161   6.9792688906  0.0   0.0000000000   0.0000000000   0.0000000000
   0.7276076161   6.9792688906  0.0   0.0000000000   0.0000000000   0.0000000000
   0.7383790123   6.9818254516  0.0   0.0000000000  -0.0010500618   0.0018187311
   0.7491504084   6.9895031924  0.0   0.0000000000  -0.0021031246   0.0036426899
   0.7599218046   7.0023255731  0.0   0.0000000000  -0.0031622494   0.0054771481
   0.7706932007   7.0203293480  0.0   0.0000000000  -0.0042305483   0.0073274964
   0.7814645968   7.0435611480  0.0   0.0000000000  -0.0053112209   0.0091992764
   0.7922359930   7.0720728958  0.0   0.0000000000  -0.0064075656   0.0110982011
   0.8030073891   7.1059162388  0.0   0.0000000000  -0.0075229770   0.0130301502
   0.8137787852   7.1451362213  0.0   0.0000000000  -0.0086609248   0.0150011334
   0.8245501814   7.1897644412  0.0   0.0000000000  -0.0098249107   0.0170172158
   0.8353215775   7.2398119456  0.0   0.0000000000  -0.0110183991   0.0190843977
   0.8460929736   7.2952621166  0.0   0.0000000000  -0.0122447166   0.0212084412
   0.8568643698   7.3560637822  0.0   0.0000000000  -0.0135069153   0.0233946327
   0.8676357659   7.4221247574  0.0   0.0000000000  -0.0148075918   0.0256474695
   0.8784071620   7.4933059845  0.0   0.0000000000  -0.0161486544   0.0279702568
   0.8891785582   7.5694163966  0.0   0.0000000000  -0.0175310271   0.0303645950
   0.8999499543   7.6502085855  0.0   0.0000000000  -0.0189542792   0.0328297384
   0.9107213505   7.7353753078  0.0   0.0000000000  -0.0204161663   0.0353617993
   0.9214927466   7.8245468315  0.0   0.0000000000  -0.0219120669   0.0379527731
   0.9322641427   7.9172890968  0.0   0.0000000000  -0.0234343021   0.0405893595
   0.9430355389   8.0131026543  0.0   0.0000000000  -0.0249713254   0.0432515595
   0.9538069350   8.1114223510  0.0   0.0000000000  -0.0265067800   0.0459110422
   0.9645783311   8.2116177615  0.0   0.0000000000  -0.0280184332   0.0485292994
   0.9753497273   8.3129944123  0.0   0.0000000000  -0.0294770217   0.0510556458
   0.9861211234   8.4147959173  0.0   0.0000000000  -0.0308450781   0.0534251856
   0.9968925195   8.5162072397  0.0   0.0000000000  -0.0320758601   0.0555569594
   1.0076639157   8.6163594030  0.0   0.0000000000  -0.0331125754   0.0573525998
   1.0184353118   8.7143360943  0.0   0.0000000000  -0.0338881758   0.0586959759
   1.0292067080   8.8091827023  0.0   0.0000000000  -0.0343260815   0.0594544478
   1.0399781041   8.8999183986  0.0   0.0000000000  -0.0343422620   0.0594824707
   1.0507495002   8.9855518378  0.0   0.0000000000  -0.0338490985   0.0586282844
   1.0615208964   9.0651008880  0.0   0.0000000000  -0.0327613399   0.0567442298
   1.0722922925   9.1376164353  0.0   0.0000000000  -0.0310041734   0.0537007273
   1.0830636886   9.2022097089  0.0   0.0000000000  -0.0285229411   0.0494031071
   1.0938350848   9.2580817758  0.0   0.0000000000  -0.0252933913   0.0438093638
   1.1046064809   9.3045529552  0.0   0.0000000000  -0.0213307153   0.0369458098
   1.1153778770   9.3410891407  0.0   0.0000000000  -0.0166952613   0.0289169709
   1.1261492732   9.3673216718  0.0   0.0000000000  -0.0114930168   0.0199064228
   1.1369206693   9.3830577320  0.0   0.0000000000  -0.0058698592   0.0101668327
   1.1476920654   9.3882793631  0.0   0.0000000000   0.0000000000   0.0000000000
   1.1476920654   9.3882793631  0.0   0.0000000000   0.0000000000   0.0000000000
   1.1692348577   9.3678964509  0.0   0.0000000000   0.0117343293   0.0203244554
   1.1907776500   9.3088252832  0.0   0.0000000000   0.0223347784   0.0386849731
   1.2123204423   9.2149712322  0.0   0.0000000000   0.0308337163   0.0534055661
   1.2338632345   9.0905705160  0.0   0.0000000000   0.0367756976   0.0636973799
   1.2554060268   8.9395518151  0.0   0.0000000000   0.0401150350   0.0694812819
   1.2769488191   8.7652303365  0.0   0.0000000000   0.0410501834   0.0711010059
   1.2984916114   8.5702472041  0.0   0.0000000000   0.0398889943   0.0690897666
   1.3200344036   8.3566444914  0.0   0.0000000000   0.0369686978   0.0640316637
   1.3415771959   8.1259967477  0.0   0.0000000000   0.0326186430   0.0564971468
   1.3631199882   7.8795552810  0.0   0.0000000000   0.0271469282   0.0470198574
   1.3846627804   7.6183847715  0.0   0.0000000000   0.0208365827   0.0360900170
   1.4062055727   7.3434831824  0.0   0.0000000000   0.0139431232   0.0241501935
   1.4277483650   7.0558801564  0.0   0.0000000000   0.0066901500   0.0115876738
   1.4492911573   6.7567104185  0.0   0.0000000000   0.0000000000  -0.0012766662
   1.4708339495   6.4472598550  0.0   0.0000000000  -0.0081982922  -0.0141998678
   1.4923767418   6.1289840075  0.0   0.0000000000  -0.0156027267  -0.0270247263
   1.5139195341   5.8035015533  0.0   0.0000000000  -0.0229098388  -0.0396810174
   1.5354623263   5.4725680116  0.0   0.0000000000  -0.0301258324  -0.0521794868
